file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1597665317929_0121,query84_cluster_500G,84,500,gamma,8,28,24247,30,200,99522.0,14616.0,497.61
spark-history/application_1597665317929_0121,query84_cluster_500G,84,500,gamma,8,28,24247,28,65,81265.0,17876.0,1250.2307692307693
spark-history/application_1597665317929_0121,query84_cluster_500G,84,500,gamma,8,28,24247,29,9,10368.0,9926.0,1152.0
spark-history/application_1597665317929_0141,query40_cluster_500G,40,500,alpha,8,27,279871,30,200,18048.0,4232.0,90.24
spark-history/application_1597665317929_0141,query40_cluster_500G,40,500,alpha,8,27,279871,27,572,729246.0,22237.0,1274.9055944055945
spark-history/application_1597665317929_0141,query40_cluster_500G,40,500,alpha,8,27,279871,28,43,69453.0,14881.0,1615.1860465116279
spark-history/application_1597665317929_0141,query40_cluster_500G,40,500,alpha,8,27,279871,29,200,1411126.0,122630.0,7055.63
spark-history/application_1597665317929_0145,query84_cluster_500G,84,500,gamma,8,28,27564,30,200,96207.0,11424.0,481.035
spark-history/application_1597665317929_0145,query84_cluster_500G,84,500,gamma,8,28,27564,28,9,14912.0,14664.0,1656.888888888889
spark-history/application_1597665317929_0145,query84_cluster_500G,84,500,gamma,8,28,27564,29,65,72705.0,11723.0,1118.5384615384614
spark-history/application_1597665317929_0113,query84_cluster_500G,84,500,gamma,4,28,49556,30,200,91584.0,10751.0,457.92
spark-history/application_1597665317929_0113,query84_cluster_500G,84,500,gamma,4,28,49556,28,65,97373.0,9822.0,1498.0461538461539
spark-history/application_1597665317929_0113,query84_cluster_500G,84,500,gamma,4,28,49556,29,5,6373.0,6112.0,1274.6
spark-history/application_1597665317929_0119,query84_cluster_500G,84,500,gamma,4,28,43020,30,200,83893.0,7282.0,419.465
spark-history/application_1597665317929_0119,query84_cluster_500G,84,500,gamma,4,28,43020,28,5,8455.0,8146.0,1691.0
spark-history/application_1597665317929_0119,query84_cluster_500G,84,500,gamma,4,28,43020,29,65,78397.0,6262.0,1206.1076923076923
