file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597691873800_0026,query52_cluster_500G,52,500,beta,8,26,104754,200,40980.0,22523.0,505,280494.0,6743.0
spark-history/application_1597691873800_0016,query52_cluster_500G,52,500,alpha,4,26,105824,200,23766.0,5871.0,505,398580.0,10361.0
spark-history/application_1597691873800_0020,query52_cluster_500G,52,500,alpha,2,26,167516,200,13761.0,2222.0,505,321661.0,4418.0
spark-history/application_1597691873800_0061,query52_cluster_500G,52,500,beta,8,26,70534,200,43661.0,11274.0,505,518568.0,24813.0
spark-history/application_1597691873800_0059,query52_cluster_500G,52,500,beta,4,26,175869,200,22552.0,5244.0,505,680667.0,11289.0
spark-history/application_1597691873800_0063,query52_cluster_500G,52,500,alpha,8,26,50316,200,33098.0,9842.0,505,365630.0,24825.0
spark-history/application_1597691873800_0069,query52_cluster_500G,52,500,alpha,8,26,60174,200,35930.0,10440.0,505,442632.0,25320.0
spark-history/application_1597691873800_0051,query52_cluster_500G,52,500,gamma,6,26,77726,200,28653.0,6753.0,505,434969.0,16586.0
spark-history/application_1597691873800_0042,query52_cluster_500G,52,500,beta,3,26,126976,200,22354.0,5777.0,505,360095.0,6981.0
spark-history/application_1597691873800_0025,query52_cluster_500G,52,500,alpha,8,26,70305,200,44281.0,10942.0,505,517307.0,25557.0
spark-history/application_1597691873800_0067,query52_cluster_500G,52,500,alpha,8,26,66078,200,36283.0,11765.0,505,488636.0,24879.0
spark-history/application_1597691873800_0001,query52_cluster_500G,52,500,beta,2,26,164223,200,16153.0,2274.0,505,313313.0,4796.0
spark-history/application_1597691873800_0060,query52_cluster_500G,52,500,alpha,8,26,70136,200,34515.0,9949.0,505,523488.0,27467.0
spark-history/application_1597691873800_0065,query52_cluster_500G,52,500,alpha,6,26,96329,200,27787.0,6935.0,505,547656.0,16749.0
spark-history/application_1597691873800_0041,query52_cluster_500G,52,500,alpha,7,26,69451,200,34682.0,9438.0,505,450694.0,21654.0
spark-history/application_1597691873800_0036,query52_cluster_500G,52,500,alpha,8,26,75789,200,38896.0,12557.0,505,561919.0,25653.0
spark-history/application_1597691873800_0044,query52_cluster_500G,52,500,gamma,3,26,225723,200,62516.0,33981.0,505,620816.0,11362.0
spark-history/application_1597691873800_0032,query52_cluster_500G,52,500,beta,4,26,158698,200,24701.0,7513.0,505,610554.0,9680.0
spark-history/application_1597691873800_0035,query52_cluster_500G,52,500,beta,8,26,64174,200,36850.0,10661.0,505,474361.0,26282.0
spark-history/application_1597691873800_0007,query52_cluster_500G,52,500,alpha,2,26,133441,200,17189.0,3275.0,505,250702.0,4073.0
spark-history/application_1597691873800_0048,query52_cluster_500G,52,500,gamma,4,26,187793,200,46078.0,17744.0,505,703686.0,14630.0
spark-history/application_1597691873800_0014,query52_cluster_500G,52,500,gamma,8,26,64265,200,38688.0,10332.0,505,471974.0,27599.0
spark-history/application_1597691873800_0062,query52_cluster_500G,52,500,gamma,8,26,63760,200,35958.0,9575.0,505,468697.0,24841.0
spark-history/application_1597691873800_0038,query52_cluster_500G,52,500,beta,4,26,159497,200,25386.0,7340.0,505,612812.0,15399.0
spark-history/application_1597691873800_0023,query52_cluster_500G,52,500,beta,3,26,101323,200,19557.0,4268.0,505,284681.0,6471.0
spark-history/application_1597691873800_0015,query52_cluster_500G,52,500,beta,4,26,101443,200,22026.0,5410.0,505,382879.0,10246.0
spark-history/application_1597691873800_0008,query52_cluster_500G,52,500,alpha,8,26,56122,200,39433.0,12667.0,505,407739.0,28099.0
spark-history/application_1597691873800_0045,query52_cluster_500G,52,500,alpha,4,26,102285,200,20972.0,5157.0,505,387995.0,11755.0
spark-history/application_1597691873800_0057,query52_cluster_500G,52,500,alpha,4,26,156865,200,25249.0,7204.0,505,602693.0,13645.0
spark-history/application_1597691873800_0043,query52_cluster_500G,52,500,alpha,8,26,178893,200,61079.0,28660.0,505,430907.0,67772.0
spark-history/application_1597691873800_0022,query52_cluster_500G,52,500,alpha,7,26,63197,200,30732.0,7782.0,505,407765.0,19488.0
spark-history/application_1597691873800_0006,query52_cluster_500G,52,500,beta,4,26,95518,200,20717.0,4761.0,505,318265.0,14307.0
spark-history/application_1597691873800_0052,query52_cluster_500G,52,500,alpha,3,26,159956,200,35389.0,9236.0,505,451143.0,6672.0
spark-history/application_1597691873800_0039,query52_cluster_500G,52,500,alpha,4,26,144764,200,26352.0,8390.0,505,553263.0,18111.0
spark-history/application_1597691873800_0027,query52_cluster_500G,52,500,alpha,4,26,147743,200,26157.0,7708.0,505,564947.0,9754.0
spark-history/application_1597691873800_0050,query52_cluster_500G,52,500,beta,3,26,223379,200,91605.0,5661.0,505,434040.0,16860.0
spark-history/application_1597691873800_0068,query52_cluster_500G,52,500,alpha,8,26,55627,200,33909.0,9143.0,505,408363.0,25771.0
spark-history/application_1597691873800_0019,query52_cluster_500G,52,500,beta,2,26,165491,200,16008.0,2486.0,505,315779.0,4028.0
spark-history/application_1597691873800_0037,query52_cluster_500G,52,500,gamma,8,26,99522,200,65394.0,21781.0,505,730458.0,27254.0
spark-history/application_1597691873800_0053,query52_cluster_500G,52,500,beta,3,26,136261,200,22137.0,6071.0,505,386822.0,6906.0
spark-history/application_1597691873800_0009,query52_cluster_500G,52,500,beta,2,26,136768,200,15384.0,3435.0,505,259138.0,4470.0
spark-history/application_1597691873800_0034,query52_cluster_500G,52,500,gamma,4,26,125611,200,28758.0,8806.0,505,472008.0,11791.0
spark-history/application_1597691873800_0047,query52_cluster_500G,52,500,beta,4,26,185544,200,43993.0,22474.0,505,696632.0,14686.0
spark-history/application_1597691873800_0005,query52_cluster_500G,52,500,alpha,4,26,103353,200,21240.0,5306.0,505,341033.0,14558.0
spark-history/application_1597691873800_0011,query52_cluster_500G,52,500,gamma,4,26,111681,200,26694.0,8025.0,505,420883.0,11024.0
spark-history/application_1597691873800_0031,query52_cluster_500G,52,500,gamma,4,26,142394,200,25567.0,7623.0,505,543632.0,10081.0
spark-history/application_1597691873800_0024,query52_cluster_500G,52,500,gamma,5,26,99727,200,20381.0,6234.0,505,470370.0,12830.0
spark-history/application_1597691873800_0056,query52_cluster_500G,52,500,beta,7,26,84208,200,39734.0,10141.0,505,549427.0,20560.0
spark-history/application_1597691873800_0028,query52_cluster_500G,52,500,beta,8,26,86962,200,105011.0,64576.0,505,587996.0,26339.0
spark-history/application_1597691873800_0033,query52_cluster_500G,52,500,alpha,4,26,134067,200,26676.0,6705.0,505,508227.0,11732.0
spark-history/application_1597691873800_0046,query52_cluster_500G,52,500,beta,2,26,222416,200,26688.0,15197.0,505,419143.0,6246.0
spark-history/application_1597691873800_0040,query52_cluster_500G,52,500,gamma,4,26,130237,200,25880.0,7882.0,505,493720.0,18732.0
spark-history/application_1597691873800_0029,query52_cluster_500G,52,500,gamma,8,26,76241,200,53154.0,19177.0,505,554191.0,24973.0
spark-history/application_1597691873800_0013,query52_cluster_500G,52,500,beta,4,26,111081,200,27817.0,11096.0,505,417336.0,12498.0
spark-history/application_1597691873800_0055,query52_cluster_500G,52,500,gamma,4,26,158716,200,29197.0,8069.0,505,604545.0,10954.0
spark-history/application_1597691873800_0018,query52_cluster_500G,52,500,gamma,2,26,167066,200,15901.0,2511.0,505,318663.0,3738.0
spark-history/application_1597691873800_0010,query52_cluster_500G,52,500,gamma,3,26,130374,200,17534.0,3116.0,505,373196.0,6448.0
spark-history/application_1597691873800_0066,query52_cluster_500G,52,500,alpha,8,26,59457,200,38024.0,11767.0,505,434580.0,26427.0
spark-history/application_1597691873800_0049,query52_cluster_500G,52,500,alpha,5,26,116495,200,35032.0,14318.0,505,546002.0,14868.0
spark-history/application_1597691873800_0012,query52_cluster_500G,52,500,alpha,8,26,57208,200,39112.0,10296.0,505,416191.0,27187.0
spark-history/application_1597691873800_0064,query52_cluster_500G,52,500,alpha,8,26,140872,200,32839.0,13926.0,505,448340.0,48994.0
spark-history/application_1597691873800_0058,query52_cluster_500G,52,500,gamma,8,26,60926,200,34729.0,10245.0,505,449202.0,25096.0
spark-history/application_1597691873800_0004,query52_cluster_500G,52,500,alpha,2,26,164213,200,16690.0,2475.0,505,313166.0,4702.0
spark-history/application_1597691873800_0070,query52_cluster_500G,52,500,alpha,8,26,45023,200,31198.0,9844.0,505,326284.0,24650.0
