file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1596699499837_0025,query52_cluster_500G,52,500,alpha,8,26,56052,200,35792.0,9777.0,505,409820.0,26144.0
spark-history/application_1596699499837_0022,query52_cluster_500G,52,500,alpha,8,26,52939,200,32732.0,9694.0,505,387821.0,24080.0
spark-history/application_1596699499837_0014,query52_cluster_500G,52,500,alpha,8,26,45675,200,33859.0,10012.0,505,329382.0,25788.0
spark-history/application_1596699499837_0013,query52_cluster_500G,52,500,alpha,8,26,44377,200,35364.0,11271.0,505,316538.0,26314.0
spark-history/application_1596699499837_0012,query52_cluster_500G,52,500,beta,8,26,44639,200,37576.0,11368.0,505,317064.0,25966.0
spark-history/application_1596699499837_0015,query52_cluster_500G,52,500,beta,7,26,47863,200,30779.0,7719.0,505,302356.0,20655.0
spark-history/application_1596699499837_0023,query52_cluster_500G,52,500,alpha,7,26,52453,200,30973.0,9291.0,505,334373.0,21679.0
spark-history/application_1596699499837_0024,query52_cluster_500G,52,500,beta,8,26,54342,200,34289.0,11408.0,505,397605.0,26272.0
spark-history/application_1596699499837_0006,query52_cluster_500G,52,500,beta,8,26,41299,200,36677.0,9737.0,505,291523.0,24031.0
spark-history/application_1596699499837_0008,query52_cluster_500G,52,500,alpha,8,26,42107,200,35514.0,10729.0,505,298509.0,24417.0
spark-history/application_1596699499837_0030,query52_cluster_500G,52,500,beta,8,26,54316,200,34708.0,10954.0,505,397581.0,26363.0
spark-history/application_1596699499837_0031,query52_cluster_500G,52,500,alpha,8,26,53142,200,34454.0,10125.0,505,388112.0,27521.0
spark-history/application_1596699499837_0009,query52_cluster_500G,52,500,beta,7,26,44972,200,31821.0,7720.0,505,281372.0,20835.0
spark-history/application_1596699499837_0007,query52_cluster_500G,52,500,alpha,8,26,41502,200,38411.0,9850.0,505,291123.0,23839.0
spark-history/application_1596699499837_0021,query52_cluster_500G,52,500,beta,8,26,50693,200,34132.0,10216.0,505,369057.0,24559.0
spark-history/application_1596699499837_0026,query52_cluster_500G,52,500,alpha,8,26,54645,200,37893.0,9294.0,505,397405.0,24181.0
spark-history/application_1596699499837_0019,query52_cluster_500G,52,500,alpha,8,26,45710,200,37218.0,12276.0,505,326315.0,24753.0
spark-history/application_1596699499837_0010,query52_cluster_500G,52,500,alpha,8,26,44656,200,34213.0,10416.0,505,319302.0,24858.0
spark-history/application_1596699499837_0017,query52_cluster_500G,52,500,alpha,8,26,50592,200,38329.0,10277.0,505,364079.0,25226.0
spark-history/application_1596699499837_0028,query52_cluster_500G,52,500,alpha,8,26,62775,200,33503.0,10083.0,505,465673.0,27164.0
spark-history/application_1596699499837_0016,query52_cluster_500G,52,500,alpha,8,26,48234,200,35947.0,9452.0,505,347629.0,23995.0
spark-history/application_1596699499837_0029,query52_cluster_500G,52,500,alpha,8,26,53129,200,33585.0,10458.0,505,388999.0,24233.0
spark-history/application_1596699499837_0011,query52_cluster_500G,52,500,alpha,8,26,43765,200,33879.0,9584.0,505,313364.0,24266.0
spark-history/application_1596699499837_0027,query52_cluster_500G,52,500,beta,7,26,54588,200,30992.0,7270.0,505,349120.0,19953.0
spark-history/application_1596699499837_0018,query52_cluster_500G,52,500,beta,8,26,49097,200,34296.0,10038.0,505,355185.0,24638.0
spark-history/application_1596699499837_0020,query52_cluster_500G,52,500,alpha,8,26,51313,200,39285.0,11533.0,505,367962.0,27342.0
spark-history/application_1596699499837_0002,query52_cluster_500G,52,500,beta,4,26,79816,200,24906.0,5918.0,505,293763.0,10098.0
spark-history/application_1596699499837_0005,query52_cluster_500G,52,500,alpha,8,26,41364,200,34855.0,9355.0,505,293768.0,25471.0
spark-history/application_1596699499837_0004,query52_cluster_500G,52,500,alpha,4,26,79936,200,22742.0,4938.0,505,296623.0,9675.0
spark-history/application_1596699499837_0003,query52_cluster_500G,52,500,alpha,7,26,68234,200,32455.0,8264.0,505,443618.0,23494.0
