file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,stage,# tasks,sum task time,sum biggest task time of each exec,avg tasks time
spark-history/application_1596699499837_0151,query20_cluster_500G,20,500,beta,8,26,28162,27,200,29271.0,4552.0,146.355
spark-history/application_1596699499837_0151,query20_cluster_500G,20,500,beta,8,26,28162,28,200,16517.0,6269.0,82.585
spark-history/application_1596699499837_0151,query20_cluster_500G,20,500,beta,8,26,28162,26,572,178068.0,21590.0,311.3076923076923
spark-history/application_1596699499837_0134,query20_cluster_500G,20,500,beta,7,26,44504,27,200,22097.0,5434.0,110.485
spark-history/application_1596699499837_0134,query20_cluster_500G,20,500,beta,7,26,44504,28,200,15730.0,6343.0,78.65
spark-history/application_1596699499837_0134,query20_cluster_500G,20,500,beta,7,26,44504,26,572,271068.0,18416.0,473.8951048951049
spark-history/application_1596699499837_0133,query52_cluster_500G,52,500,alpha,8,26,112005,27,200,26662.0,9106.0,133.31
spark-history/application_1596699499837_0133,query52_cluster_500G,52,500,alpha,8,26,112005,26,505,518779.0,37043.0,1027.2851485148515
spark-history/application_1596699499837_0150,query20_cluster_500G,20,500,beta,8,26,32653,27,200,9847.0,824.0,49.235
spark-history/application_1596699499837_0150,query20_cluster_500G,20,500,beta,8,26,32653,28,200,16404.0,9007.0,82.02
spark-history/application_1596699499837_0150,query20_cluster_500G,20,500,beta,8,26,32653,26,572,204992.0,20721.0,358.3776223776224
spark-history/application_1596699499837_0132,query52_cluster_500G,52,500,alpha,8,26,65334,27,200,36082.0,10353.0,180.41
spark-history/application_1596699499837_0132,query52_cluster_500G,52,500,alpha,8,26,65334,26,505,483861.0,26966.0,958.1405940594059
spark-history/application_1596699499837_0135,query52_cluster_500G,52,500,alpha,8,26,59056,27,200,32565.0,8343.0,162.825
spark-history/application_1596699499837_0135,query52_cluster_500G,52,500,alpha,8,26,59056,26,505,436234.0,26325.0,863.829702970297
spark-history/application_1596699499837_0128,query52_cluster_500G,52,500,alpha,8,26,133270,27,200,45117.0,25100.0,225.585
spark-history/application_1596699499837_0128,query52_cluster_500G,52,500,alpha,8,26,133270,26,505,510775.0,52348.0,1011.4356435643564
spark-history/application_1596699499837_0117,query20_cluster_500G,20,500,beta,4,26,64408,27,200,11120.0,2549.0,55.6
spark-history/application_1596699499837_0117,query20_cluster_500G,20,500,beta,4,26,64408,28,200,11068.0,3444.0,55.34
spark-history/application_1596699499837_0117,query20_cluster_500G,20,500,beta,4,26,64408,26,572,234872.0,8064.0,410.61538461538464
spark-history/application_1596699499837_0119,query52_cluster_500G,52,500,alpha,8,26,82114,27,200,46269.0,15709.0,231.345
spark-history/application_1596699499837_0119,query52_cluster_500G,52,500,alpha,8,26,82114,26,505,601845.0,30171.0,1191.7722772277227
spark-history/application_1596699499837_0126,query20_cluster_500G,20,500,beta,4,26,86103,27,200,11771.0,4625.0,58.855
