file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 30, # tasks","stage 30, sum task time","stage 30, sum biggest task time of each exec","stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 29, # tasks","stage 29, sum task time","stage 29, sum biggest task time of each exec"
spark-history/application_1597564414058_0008,query40_cluster_500G,40,500,alpha,8,27,207534,200,14428.0,2967.0,572,718927.0,26294.0,43,68190.0,15969.0,200,841060.0,67098.0
spark-history/application_1597564414058_0013,query40_cluster_500G,40,500,beta,8,27,255661,200,15620.0,3239.0,572,702432.0,23756.0,43,73400.0,20057.0,200,1241415.0,92318.0
spark-history/application_1597564414058_0022,query40_cluster_500G,40,500,beta,8,27,300264,200,15529.0,3560.0,43,74834.0,25784.0,572,728785.0,23163.0,200,1555767.0,98723.0
spark-history/application_1597564414058_0026,query40_cluster_500G,40,500,alpha,8,27,206214,200,21472.0,3602.0,43,74145.0,23981.0,572,690329.0,15560.0,200,848597.0,66374.0
spark-history/application_1597564414058_0004,query40_cluster_500G,40,500,beta,8,27,626866,200,19913.0,4067.0,43,68570.0,11861.0,572,704143.0,10178.0,200,1750958.0,101856.0
spark-history/application_1597564414058_0021,query40_cluster_500G,40,500,alpha,8,27,214882,200,15920.0,3162.0,43,74694.0,25047.0,572,696319.0,18414.0,200,917192.0,82038.0
spark-history/application_1597564414058_0031,query40_cluster_500G,40,500,beta,8,27,216321,200,17720.0,4048.0,572,761677.0,25324.0,43,67974.0,17248.0,200,869041.0,70159.0
spark-history/application_1597564414058_0011,query40_cluster_500G,40,500,alpha,8,27,185252,200,16187.0,3737.0,572,680762.0,24740.0,43,64753.0,14858.0,200,708298.0,70401.0
spark-history/application_1597564414058_0007,query40_cluster_500G,40,500,beta,7,27,268220,200,14449.0,2539.0,572,707583.0,23398.0,43,71437.0,17299.0,200,1071671.0,69996.0
spark-history/application_1597564414058_0027,query40_cluster_500G,40,500,alpha,8,27,249576,200,17227.0,2835.0,572,730772.0,22937.0,43,64160.0,15507.0,200,1175299.0,84970.0
spark-history/application_1597564414058_0028,query40_cluster_500G,40,500,beta,7,27,214711,200,14412.0,1942.0,43,69943.0,19477.0,572,714006.0,19147.0,200,693324.0,57021.0
spark-history/application_1597564414058_0002,query40_cluster_500G,40,500,alpha,8,27,237993,200,16025.0,3608.0,572,844759.0,102070.0,43,77692.0,19329.0,200,952057.0,80068.0
spark-history/application_1597564414058_0020,query40_cluster_500G,40,500,alpha,8,27,214013,200,15363.0,2966.0,572,698877.0,24110.0,43,72317.0,16999.0,200,906002.0,69228.0
spark-history/application_1597564414058_0012,query40_cluster_500G,40,500,alpha,8,27,212879,200,14755.0,3073.0,43,80902.0,27175.0,572,670078.0,24791.0,200,925882.0,82078.0
spark-history/application_1597564414058_0009,query40_cluster_500G,40,500,alpha,8,27,226253,200,17596.0,3901.0,43,78754.0,25924.0,572,715537.0,20420.0,200,976541.0,71291.0
spark-history/application_1597564414058_0017,query40_cluster_500G,40,500,alpha,8,27,203047,200,14546.0,3311.0,43,73221.0,24998.0,572,727763.0,23517.0,200,787163.0,75054.0
spark-history/application_1597564414058_0003,query40_cluster_500G,40,500,alpha,4,27,582290,200,15826.0,3658.0,43,63064.0,10012.0,572,698117.0,10096.0,200,1539770.0,63464.0
spark-history/application_1597564414058_0018,query40_cluster_500G,40,500,alpha,8,27,222917,200,14920.0,3337.0,43,79281.0,24789.0,572,705011.0,18246.0,200,957134.0,75463.0
spark-history/application_1597564414058_0030,query40_cluster_500G,40,500,alpha,8,27,255804,200,16562.0,2679.0,572,749342.0,23024.0,43,64009.0,15671.0,200,1201720.0,84354.0
spark-history/application_1597564414058_0015,query40_cluster_500G,40,500,alpha,7,27,224107,200,14683.0,2460.0,43,69285.0,19437.0,572,647861.0,13891.0,200,823036.0,57050.0
spark-history/application_1597564414058_0010,query40_cluster_500G,40,500,beta,8,27,211143,200,14793.0,2955.0,43,75244.0,24868.0,572,701871.0,19068.0,200,880591.0,73355.0
spark-history/application_1597564414058_0005,query40_cluster_500G,40,500,alpha,8,27,280089,200,18323.0,4462.0,572,783414.0,42690.0,43,75058.0,20544.0,200,1316924.0,102059.0
spark-history/application_1597564414058_0016,query40_cluster_500G,40,500,beta,8,27,228463,200,15076.0,3055.0,572,719212.0,24022.0,43,70596.0,16232.0,200,998999.0,91722.0
spark-history/application_1597564414058_0014,query40_cluster_500G,40,500,alpha,8,27,270079,200,33607.0,7321.0,43,78983.0,25031.0,572,661693.0,14858.0,200,1381816.0,98945.0
spark-history/application_1597564414058_0019,query40_cluster_500G,40,500,beta,7,27,208526,200,14263.0,1984.0,43,75494.0,20880.0,572,652059.0,16422.0,200,702969.0,66855.0
spark-history/application_1597564414058_0024,query40_cluster_500G,40,500,alpha,8,27,257932,200,32041.0,12018.0,43,75135.0,24717.0,572,720196.0,23991.0,200,1215717.0,92879.0
spark-history/application_1597564414058_0025,query40_cluster_500G,40,500,beta,8,27,217020,200,16152.0,3471.0,572,740954.0,24527.0,43,69525.0,18270.0,200,893692.0,72032.0
spark-history/application_1597564414058_0006,query40_cluster_500G,40,500,alpha,8,27,283810,200,15354.0,4010.0,572,776490.0,25118.0,43,78680.0,21223.0,200,1383440.0,116880.0
spark-history/application_1597564414058_0023,query40_cluster_500G,40,500,alpha,8,27,291574,200,27873.0,10598.0,572,763956.0,26912.0,43,63998.0,14538.0,200,1462849.0,105329.0
spark-history/application_1597564414058_0029,query40_cluster_500G,40,500,alpha,8,27,225571,200,27520.0,8869.0,572,735402.0,22783.0,43,71210.0,17744.0,200,954611.0,76631.0
