file_path,app_name,query_number,data_scale,queue,# executors,last_job_id,job_runtime,"stage 27, # tasks","stage 27, sum task time","stage 27, sum biggest task time of each exec","stage 28, # tasks","stage 28, sum task time","stage 28, sum biggest task time of each exec","stage 26, # tasks","stage 26, sum task time","stage 26, sum biggest task time of each exec"
spark-history/application_1597591361258_0034,query20_cluster_500G,20,500,alpha,8,26,27791,200,31352.0,5232.0,200,16688.0,6546.0,572,171760.0,20490.0
spark-history/application_1597591361258_0008,query20_cluster_500G,20,500,beta,8,26,28176,200,9337.0,744.0,200,20014.0,11047.0,572,166496.0,21421.0
spark-history/application_1597591361258_0002,query20_cluster_500G,20,500,alpha,4,26,54987,200,10393.0,2686.0,200,12896.0,5754.0,572,137819.0,5477.0
spark-history/application_1597591361258_0018,query20_cluster_500G,20,500,beta,8,26,29604,200,9879.0,1106.0,200,17897.0,9999.0,572,178061.0,20789.0
spark-history/application_1597591361258_0036,query20_cluster_500G,20,500,beta,7,26,28930,200,8873.0,887.0,200,15626.0,8420.0,572,154916.0,17060.0
spark-history/application_1597591361258_0037,query20_cluster_500G,20,500,alpha,7,26,31304,200,8967.0,1071.0,200,15590.0,7629.0,572,171425.0,17299.0
spark-history/application_1597591361258_0028,query20_cluster_500G,20,500,beta,8,26,27653,200,37090.0,5949.0,200,15814.0,5999.0,572,165970.0,20812.0
spark-history/application_1597591361258_0024,query20_cluster_500G,20,500,beta,8,26,29772,200,29799.0,5064.0,200,19348.0,7773.0,572,186466.0,23402.0
spark-history/application_1597591361258_0031,query20_cluster_500G,20,500,alpha,8,26,29435,200,9081.0,744.0,200,16841.0,8835.0,572,181303.0,21052.0
spark-history/application_1597591361258_0004,query20_cluster_500G,20,500,beta,8,26,27937,200,9087.0,747.0,200,17378.0,8806.0,572,168856.0,20792.0
spark-history/application_1597591361258_0048,query20_cluster_500G,20,500,alpha,8,26,26567,200,14268.0,2073.0,200,18549.0,8725.0,572,164115.0,21485.0
spark-history/application_1597591361258_0043,query20_cluster_500G,20,500,beta,4,26,42836,200,10907.0,2622.0,200,12219.0,3955.0,572,144891.0,8327.0
spark-history/application_1597591361258_0035,query20_cluster_500G,20,500,beta,8,26,26967,200,29467.0,4706.0,200,16667.0,6334.0,572,167834.0,20970.0
spark-history/application_1597591361258_0049,query20_cluster_500G,20,500,alpha,8,26,27723,200,8908.0,810.0,200,19012.0,9866.0,572,166131.0,20237.0
spark-history/application_1597591361258_0023,query20_cluster_500G,20,500,alpha,7,26,29891,200,13363.0,2470.0,200,16826.0,7386.0,572,167344.0,16811.0
